timestamp,step,vx,vy,wz,body_height
2026-05-25T20:44:21.654733,0,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:21.756288,1,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:21.856317,2,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:21.957341,3,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:22.057459,4,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:22.157589,5,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:22.257734,6,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:22.358164,7,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:22.458333,8,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:22.558987,9,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:22.862479,10,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:22.962837,11,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:23.062895,12,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:23.162893,13,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:23.265289,14,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:23.364530,15,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:23.466126,16,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:23.566238,17,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:23.666396,18,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:23.766508,19,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:23.866612,20,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:24.082730,21,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:24.182802,22,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:24.283247,23,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:24.384090,24,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:24.485514,25,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:24.584350,26,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:24.684485,27,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:24.784735,28,0.3000,0.0000,0.0000,0.0000
2026-05-25T20:44:24.884759,29,0.0000,0.0000,0.0000,-0.5000
2026-05-25T20:44:24.984901,30,0.0000,0.0000,0.0000,-0.5000
2026-05-25T20:44:25.085106,31,0.0000,0.0000,0.0000,-0.5000
